PartitionKey,timeOfTweet,,,Prob,0.695411405
Bernie Sanders,Sun Feb 28 15:03:17 +0000 2016,,,0.734798074,56.63793904
Bernie Sanders,Sun Feb 28 15:03:18 +0000 2016,,,0.693523049,-2.715451906
Bernie Sanders,Sun Feb 28 15:03:20 +0000 2016,,,0.693282545,-3.061296104
Bernie Sanders,Sun Feb 28 15:03:23 +0000 2016,,,0.699975431,6.563058558
Bernie Sanders,Sun Feb 28 15:03:23 +0000 2016,,,0.714723825,27.77121518
Bernie Sanders,Sun Feb 28 15:03:26 +0000 2016,,,0.711484194,23.11263326
Bernie Sanders,Sun Feb 28 15:03:27 +0000 2016,,,0.68845135,-10.00854339
Bernie Sanders,Sun Feb 28 15:03:29 +0000 2016,,,0.683578789,-17.0152749
Bernie Sanders,Sun Feb 28 15:03:33 +0000 2016,,,0.715875506,29.42732981
Bernie Sanders,Sun Feb 28 15:03:36 +0000 2016,,,0.689178705,-8.962608578
Bernie Sanders,Sun Feb 28 15:03:36 +0000 2016,,,0.742872775,68.24934049
Bernie Sanders,Sun Feb 28 15:03:37 +0000 2016,,,0.669221342,-37.66125063
Bernie Sanders,Sun Feb 28 15:03:38 +0000 2016,,,0.705410182,14.37821799
Bernie Sanders,Sun Feb 28 15:03:39 +0000 2016,,,0.730199397,50.0250521
Bernie Sanders,Sun Feb 28 15:03:40 +0000 2016,,,0.699975431,6.563058558
Bernie Sanders,Sun Feb 28 15:03:42 +0000 2016,,,0.692560554,-4.0995175
Bernie Sanders,Sun Feb 28 15:03:42 +0000 2016,,,0.705410182,14.37821799
Bernie Sanders,Sun Feb 28 15:03:42 +0000 2016,,,0.69352299,-2.715536748
Bernie Sanders,Sun Feb 28 15:03:43 +0000 2016,,,0.675946295,-27.9907837
Bernie Sanders,Sun Feb 28 15:03:43 +0000 2016,,,0.737215519,60.11421938
Bernie Sanders,Sun Feb 28 15:03:43 +0000 2016,,,0.698369563,4.25382407
Bernie Sanders,Sun Feb 28 15:03:45 +0000 2016,,,0.675946295,-27.9907837
Bernie Sanders,Sun Feb 28 15:03:46 +0000 2016,,,0.654093921,-59.41444721
Bernie Sanders,Sun Feb 28 15:03:46 +0000 2016,,,0.693523049,-2.715451906
Bernie Sanders,Sun Feb 28 15:03:47 +0000 2016,,,0.708456516,18.75883927
Bernie Sanders,Sun Feb 28 15:03:47 +0000 2016,,,0.680697143,-21.15907521
Bernie Sanders,Sun Feb 28 15:03:49 +0000 2016,,,0.767328858,103.4171315
Bernie Sanders,Sun Feb 28 15:03:53 +0000 2016,,,0.655819297,-56.93336049
Bernie Sanders,Sun Feb 28 15:03:57 +0000 2016,,,0.647862077,-68.37582454
Bernie Sanders,Sun Feb 28 15:03:57 +0000 2016,,,0.699975431,6.563058558
Bernie Sanders,Sun Feb 28 15:04:00 +0000 2016,,,0.7105546,21.77587923
Bernie Sanders,Sun Feb 28 15:04:01 +0000 2016,,,0.720909476,36.66616708
Bernie Sanders,Sun Feb 28 15:04:01 +0000 2016,,,0.69352299,-2.715536748
Bernie Sanders,Sun Feb 28 15:04:02 +0000 2016,,,0.695921838,0.734001155
Bernie Sanders,Sun Feb 28 15:04:06 +0000 2016,,,0.744597375,70.72931132
Bernie Sanders,Sun Feb 28 15:04:08 +0000 2016,,,0.657858849,-54.00048941
Bernie Sanders,Sun Feb 28 15:04:08 +0000 2016,,,0.705410182,14.37821799
Bernie Sanders,Sun Feb 28 15:04:09 +0000 2016,,,0.733031034,54.09693958
Bernie Sanders,Sun Feb 28 15:04:10 +0000 2016,,,0.695921838,0.734001155
Bernie Sanders,Sun Feb 28 15:04:11 +0000 2016,,,0.689178705,-8.962608578
Bernie Sanders,Sun Feb 28 15:04:11 +0000 2016,,,0.686020195,-13.50453869
Bernie Sanders,Sun Feb 28 15:04:13 +0000 2016,,,0.653005481,-60.97962143
Bernie Sanders,Sun Feb 28 15:04:15 +0000 2016,,,0.701161742,8.268971045
Bernie Sanders,Sun Feb 28 15:04:15 +0000 2016,,,0.724084318,41.23158257
Bernie Sanders,Sun Feb 28 15:04:16 +0000 2016,,,0.706349492,15.7289436
Bernie Sanders,Sun Feb 28 15:04:17 +0000 2016,,,0.737215519,60.11421938
Bernie Sanders,Sun Feb 28 15:04:21 +0000 2016,,,0.708456516,18.75883927
Bernie Sanders,Sun Feb 28 15:04:21 +0000 2016,,,0.705410182,14.37821799
Bernie Sanders,Sun Feb 28 15:04:22 +0000 2016,,,0.705410182,14.37821799
Bernie Sanders,Sun Feb 28 15:04:26 +0000 2016,,,0.693282545,-3.061296104
Bernie Sanders,Sun Feb 28 15:04:26 +0000 2016,,,0.696161091,1.078046418
Bernie Sanders,Sun Feb 28 15:04:27 +0000 2016,,,0.62536484,-100.7267996
Bernie Sanders,Sun Feb 28 15:04:30 +0000 2016,,,0.69783324,3.482592831
Bernie Sanders,Sun Feb 28 15:04:30 +0000 2016,,,0.683823407,-16.66351477
Bernie Sanders,Sun Feb 28 15:04:34 +0000 2016,,,0.740271688,64.50898337
Bernie Sanders,Sun Feb 28 15:04:34 +0000 2016,,,0.709856212,20.77159889
Bernie Sanders," who IS #BernieSanders and has been ALWAYS #WhichH…""",Sun Feb 28 15:04:35 +0000 2016,,0.694303811,-1.592717947
Bernie Sanders,Sun Feb 28 15:04:35 +0000 2016,,,0.69783324,3.482592831
Bernie Sanders,Sun Feb 28 15:04:37 +0000 2016,,,0.714954376,28.10274699
